Time:,20.04.2020 23:04:56,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13
Query:,AItechniqueProbabilisticReasoning,,,,,,,,,,,
Offices:,"EP,WO",,,,,,,,,,,
SortBy:,Relevance,,,,,,,,,,,
,,,,,,,,,,,,
Application Id,Application Number,Application Date,Publication Number,Publication Date,Country,Title,Abstract,I P C,Applicants,Inventors,Priorities Data,National Phase Entries
WO2019018533,PCT/US2018/042701,18.07.2018,WO/2019/018533,24.01.2019,WO,NEURO-BAYESIAN ARCHITECTURE FOR IMPLEMENTING ARTIFICIAL GENERAL INTELLIGENCE,"The present disclosure envisages a processor architecture designed tor artificial general intelligence operations. The engine for Neuro-Bayesian teaming (eN-BLe) further includes a hierarchical Neuro Bayesian Network module, a reinforcement learning module, a supervised learning, module, and a planning, imagination, and simulation module, for planning, imagination, and decision making under uncertainty. The engine for Neuro-Bayesian learning is communicably coupled to a user application and receives input data from the user application. The hierarchical Neuro-Bayesian Network (H-NBN) acts as a probabilistic internal model of an application or unknown environment. The H-NBN is capable of probabilistic and Bayesian inference, prediction, and unsupervised learning. Thereafter, the outputs of the H-NBN are provided to supervised NBNs for classification or regression of input states. Additionally, the output of the H-NBN is provided to the reinforcement learning module, which in turn comprises Value-NBNs (V-NBNs) and Policy-NBNs (P-NBNs), to compute expected reward and select optimal actions under uncertainty.",G06E 1/00,NEUBAY INC,"RAO, Rajesh Perampalli Nekkar; KATHIRISETTI, Satish; DURAIRAJ, Ramesh","62/534,040 18.07.2017 US",
WO2013182915,PCT/IB2013/001986,30.05.2013,WO/2013/182915,12.12.2013,WO,TEMPORAL PREDICTIVE ANALYTICS,"A fuzzy complex event processing (CEP) system successfully processing noisy, incomplete, multi-source data in support of near real-time decision-making. The fuzzy CEP solution of the present invention supports decision-making by identifying and exploiting patterns hidden in complex data and can operate in a forensic mode against historical data, near real-time mode for proactive decision-making, or any combination thereof. Fusion algorithms and techniques are applied to observation data that may only partially satisfy an event description in time, space, or other relevant dimensions. Using context propagation, Bayesian reasoning, and spatiotemporal analysis, the present invention provides both predictive awareness of upcoming events and likelihood analysis for events that may have already occurred, but were not evident in the collected data, while at the same time minimizing false detections.",G06N 7/00; G06N 5/04,"INTELLIGENT SOFTWARE SOLUTIONS, INC.","GERKEN, Mark; PAVLIK, Rick; DALY, Kevin","61/655,407 04.06.2012 US; 13/906,101 30.05.2013 US",
EP222893400,18157284,05.12.2014,3340570,27.06.2018,EP,PROFILING CYBER THREATS DETECTED IN A TARGET ENVIRONMENT AND AUTOMATICALLY GENERATING ONE OR MORE RULE BASES FOR AN EXPERT SYSTEM USABLE TO PROFILE CYBER THREATS DETECTED IN A TARGET ENVIRONMENT,"A method of automatically generating one or more rule bases for an expert system usable to profile cyber threats detected in a target environment, comprising the steps of: for each alert of a training set of alerts triggered by a potential cyber threat detected by an SIEM: retrieving captured packet data related to the alert; and extracting training threat data pertaining to a set of attributes from captured packet data triggering the alert; generating a predictive model of the level of risk posed by an alert based on attribute values for that alert by analysing the captured training threat data pertaining to the set of attributes; and generating a set of fuzzy rules based on the predictive model, said rules being usable at run time in a fuzzy logic engine to evaluate data pertaining to one or more of the extracted attributes of a detected cyber threat to determine values for one or more output variables indicative of a level of an aspect of risk attributable to the detected cyber threat.",H04L 29/06; G06F 21/55; G06F 21/57; G06N 5/04; G06N 7/02,CYBERLYTIC LTD,LAIDLAW STUART; ST JOHN HAROLD; HILLICK MARK,14196460 05.12.2014 EP; 201321565 06.12.2013 GB,
WO2017223192,PCT/US2017/038531,21.06.2017,WO/2017/223192,28.12.2017,WO,SYSTEMS AND METHODS FOR MACHINE LEARNING USING A TRUSTED MODEL,"Methods and systems of using machine learning to create a trusted model that improves the operation of a computer system controller are provided herein. In some embodiments, a machine learning method includes training a model using input data, extracting the model, and determining whether the model satisfies the trust-related constraints. If the model does not satisfy the trust-related constraint, modifying at least one of: the model using one or more model repair algorithms, the input data using one or more data repair algorithms, or a reward function of the model using one or more reward repair algorithms, and re-training the model using at least one of the modified model, the modified input data, or the modified reward function. If the model satisfies the trust-related constraints, providing the model as a trusted model that enables a computer system controller to perform system actions within predetermined guarantees.",G06F 15/18,SRI INTERNATIONAL,"GHOSH, Shalini; LINCOLN, Patrick D.; RAMAMURTHY, Bhaskar S.","62/352,939 21.06.2016 US; 15/629,082 21.06.2017 US",DE-112017002604; JP-2018566923
WO2016145379,PCT/US2016/022127,11.03.2016,WO/2016/145379,15.09.2016,WO,Automated Compilation of Probabilistic Task Description into Executable Neural Network Specification,"A mechanism for compiling a generative description of an inference task into a neural network. First, an arbitrary generative probabilistic model from the exponential family is specified (or received). The model characterizes a conditional probability distribution for measurement data given a set of latent variables. A factor graph is generated for the generative probabilistic model. Each factor node of the factor graph is expanded into a corresponding sequence of arithmetic operations, based on a specified inference task and a kind of message passing algorithm. The factor graph and the sequences of arithmetic operations specify the structure of a neural network for performance of the inference task. A learning algorithm is executed, to determine values of parameters of the neural network. The neural network is then ready for performing inference on operational measurements.",G06F 19/00; G06N 3/02; G10L 15/14,WILLIAM MARSH RICE UNIVERSITY,"PATEL, Ankit B.; BARANIUK, Richard G.","62/131,872 12.03.2015 US; 62/137,656 24.03.2015 US",
WO2001067186,PCT/IT2000/000078,09.03.2000,WO/2001/067186,13.09.2001,WO,METHOD AND HARDWARE ARCHITECTURE FOR CONTROLLING A PROCESS OR FOR PROCESSING DATA BASED ON QUANTUM SOFT COMPUTING,"A method of controlling a process (Plant) driven by a control signal (U*) for producing a corresponding output comprises producing an error signal (ε) as a function of a state of the process (X) and of a reference signal (Y), generating a control signal (U*) as a function of the error signal (ε) and of a parameter adjustment signal (CGS) and feeding it to the process (Plant), deriving a signal (S) representative of a quantity to be minimized calculated by processing paired values of the state (X) of the process and the control signal (U*), calculating a correction signal (K2) from a set of several different values of the control signal (U*), that minimize the derived signal (S) to be minimized, calculating the parameter adjustment signal (CGS) by a neural network and fuzzy logic processor from the error signal (ε) and correction signal (K2). The method of the invention is characterized in that the correction signal (K2) is periodically calculated by a Quantum Genetic Search Algorithm consisting in a merging of a genetic algorithm and a quantum search algorithm. A hardware embodiment of the method of the invention has been disclosed.",G06F 17/30; G06N 99/00; G05B 13/02,"STMICROELECTRONICS S.R.L.; YAMAHA MOTOR EUROPE N.V.; ULYANOV, Serguei; RIZZOTTO, Gianguido; KURAWAKI, Ichiro; PANFILOV, Serguei; GHISI, Fabio; AMATO, Paolo; PORTO, Massimo","ULYANOV, Serguei; RIZZOTTO, Gianguido; KURAWAKI, Ichiro; PANFILOV, Serguei; GHISI, Fabio; AMATO, Paolo; PORTO, Massimo",,JP-2001566098; EP-2000911256; US-09979348; CN-00807374.0
EP249989442,18213198,17.12.2018,3522078,07.08.2019,EP,EXPLAINABLE ARTIFICIAL INTELLIGENCE,,G06N 5/02; G06N 5/04; G06N 20/00,ACCENTURE GLOBAL SOLUTIONS LTD,LI CHUNG-SHENG; XIONG GUANGLEI; JAIN ASHISH; MUNGUIA TAPIA EMMANUEL; KANG SUKRYOOL; GROSOF BENJAMIN NATHAN,201816019120 26.06.2018 US; 201862626460 05.02.2018 US,
WO2010080641,PCT/US2009/068861,18.12.2009,WO/2010/080641,15.07.2010,WO,PROBABILISTIC NATURAL LANGUAGE PROCESSING USING A LIKELIHOOD VECTOR,"A method for natural language processing on a computing device is described. The computing device receives a free text document. The computing device parses the free text document for gross structure. The gross structure includes sections, paragraphs and sentences. The computing device determines an application of at least one knowledge base. The free text document is parsed for fine structure on the computing device. The fine structure includes sub-sentences. The computing device applies the parsed document and at least one likelihood vector to a Bayesian network. The computing device outputs meanings and probabilities.",G10L 15/00,"IHC INTELLECTUAL ASSET MANAGEMENT, LLC; HAUG, Peter J.","HAUG, Peter J.","61/138,897 18.12.2008 US",
WO2005001742,PCT/US2004/020760,28.06.2004,WO/2005/001742,06.01.2005,WO,CAD (COMPUTER-AIDED DECISION) SUPPORT FOR MEDICAL IMAGING USING MACHINE LEARNING TO ADAPT CAD PROCESS WITH KNOWLEDGE COLLECTED DURING ROUTINE USE OF CAD SYSTEM,"CAD (computer-aided decision) support systems, methods and tools for medical imaging are provided, which use machine learning classification for automated detection and marking of regions of interest in medical images. Machine learning methods are used for adapting/optimizing a CAD process by seamlessly incorporating physician knowledge into the CAD process using training data that is obtained during routine use of the CAD system.",A61B 5/00; A61B 8/00; A61B 8/12; A61B 8/14; G06F 17/00; G06F 17/50; G06F 19/00; G06K 9/00; G06K 9/62; G06N 5/00; H03K 19/00,"SIEMENS MEDICAL SOLUTIONS USA, INC.","KRISHNAN, Arun; STOECKEL, Jonathan","60/483,559 27.06.2003 US; 10/877,263 25.06.2004 US",EP-2004777218; JP-2006517745; CA-2530419; AU-2004252917; CN-200480017787.7
WO2020043262,PCT/EP2018/072942,25.08.2018,WO/2020/043262,05.03.2020,WO,METHOD OF INTRUSION DETECTION,"Large-scale retail chains suffer from excessive security expenditure necessitated by alarms and similar incidents that requires on-site investigation by private security or police officials. This problem is aggravated by the undue rate of false alarms caused by state-of-the-art intrusion detection systems and exploited by highly skilled criminal gangs who familiarize themselves with the target property prior to breaking and entering. Solution The problem is solved by, on the one hand, predictive modeling to assess the likelihood of an intrusion or other type of failure giving reasons to invoke or signal alarm using artificial intelligence and, on the other hand, exploiting any available data sources on site and their messages to reduce false alarms.",G08B 25/00; G08B 31/00; G06N 7/00; G06Q 10/04; G08B 29/18,XCCELO GMBH; XCCELO SYSTEMS GMBH,"BECKER, Jochen; ZAPPEL, Dietmar; HAUKE, Rudolf",,
WO2019171060,PCT/GB2019/050634,06.03.2019,WO/2019/171060,12.09.2019,WO,CONTROL POLICY DETERMINATION METHOD AND SYSTEM,"The present invention relates to a method of providing behaviour models of and for dynamic objects. Specifically, the present invention relates to a method and system for generating models and/or control policies for dynamic objects, typically for use in simulators and/or autonomous vehicles. The present invention sets out to provide a set or sets of behaviour models of and for dynamic objects, such as, for example, drivers, pedestrians and cyclists, typically for use in such autonomous vehicle simulators.",G06K 9/00; G06K 9/62,LATENT LOGIC LTD,"WHITESON, Shimon Azariah; MESSIAS, Joao; CHEN, Xi; BEHBAHANI, Feryal; SHIARLI, Kyriacos; KASEWA, Sudhanshu; KURIN, Vitaly",1803599.8 06.03.2018 GB; 1817987.9 02.11.2018 GB,
WO2019203779,PCT/US2018/016017,16.04.2018,WO/2019/203779,24.10.2019,WO,A HUMAN-ARTIFICIAL INTELLIGENCE HYBRID SYSTEM,"A system allowing human intelligence and artificial intelligence to participate in the solving of a problem together, in real time, allowing the human to tag a data set of complex interactions to indicate where the failures are and to develop a system based on this dataset that learns heuristic rules to detect when a failure is likely and to automatically request further human assistance.",G06N 5/02; G06N 5/04; G06N 99/00,"VIIRRE, Erik","VIIRRE, Erik; TAGG, James",,
WO2016036958,PCT/US2015/048366,03.09.2015,WO/2016/036958,10.03.2016,WO,SYSTEMS AND METHODS FOR CAUSAL INFERENCE IN NETWORK STRUCTURES USING BELIEF PROPAGATION,"Systems and method for perturbing a system include obtaining directed acyclic/cyclic graph candidates {GI,..., GN} for the system. Each Gi in {Gj,.... GN} includes a causal relationship between a parent and child node. {GI., GN} demonstrate Markov equivalence. Observed data D is obtained for the nodes. For each respective Gi, the marginal probability of a parent node xi in Gi is clamped by D while computing a distribution of marginal probabilities for a child node yi,· by Bayesian network or Dynamic Bayesian network belief propagation using an interaction function. The observed distribution for the child node yi, in D and the computed distribution of marginal probabilities for the child node yi are scored using a nonparametric function, and such scores inform the selection of a directed /cyclic graph from (GI,..., GN}. The system is perturbed using a perturbation that relies upon a causal relationship in the selected directed acyclic/cyclic graph.",G06F 19/12; G06F 19/18; G06F 19/00; G06F 17/00; G06N 5/00; G06N 5/02; G06N 7/00; G06N 7/08,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,"CHANG, Rui, R.; SCHADT, Eric, E.","62/046,670 05.09.2014 US",US-15508880
WO2000070481,PCT/US2000/013360,15.05.2000,WO/2000/070481,23.11.2000,WO,INTELLIGENT COMPUTER SYSTEM,"An intelligent computer system (180) is capable of real time learning, inference and updating of user profiles and trends to facilitate on-line, real-time recommendations or answer queries related to the user, referred to as 'personalization', and may be added to, or integrated with, any of a variety of distributed computer systems (102, 104, 106, 108) to add dynamic personalization capability thereto. The intelligent computer system (180) distributes it processes across the system as processors become available and as a function of the loads across the system. The intelligent computer system (180) includes a business command center (230) for generating and maintaining enterprise specific rules, which may be entered by a non-technical enteprise user. The system also includes a core (210) that serves as an operating system and includes functionality to evaluate which rules should be applied to a consumer and his session. An artificial intelligence system includes a machine learning system for generating and updating Bayesian models, using off-line and on-line processes, which are used by its inference system to make intelligent recommendations related to the user.",G06N 5/02; G06Q 30/00,"MANNA, INC.","RATSABY, Joel; BARNEA, Gad","60/134,105 14.05.1999 US",EP-2000930757
EP12266521,90314243,24.12.1990,0474944,18.03.1992,EP,Method and apparatus for diagnostic testing,"A diagnostic tester evaluates at least one inputted test signal corresponding to test data relating to at least one predetermined parameter of a system being tested, to produce first and second candidate signals corresponding respectively to first and second possible diagnoses of the condition of the system respectively having the first and second highest levels of certainty of being valid, and first and second certainty signals corresponding respectively to values of the first and second highest levels of certainty. The diagnostic tester further determines the sufficiency of the testing that has taken place responsive to the first and second certainty signals, and produces an output signal indicative of whether sufficient test data has been evaluated to declare a diagnosis. Preferably, an uncertainty signal corresponding to a measure of the uncertainty that the evaluated at least one test signal can be validly evaluated is also produced and used to produce the output signal. <IMAGE>",G06F 17/00; G06F 11/22; G06F 11/25,ARINC RES CORP,SHEPPARD JOHN W; SIMPSON WILLIAM R; GRAHAM JERRY L,58238390 14.09.1990 US,
EP29858094,10155045,01.03.2010,2363251,07.09.2011,EP,Robot with Behavioral Sequences on the basis of learned Petri Net Representations,"This invention relates to a computer system, a robot system, and a driver assistance system that is required to interact with its environment in order to recognize and anticipate tasks or to provide support or assistance or initiate actions. The invention also relates to a software program product for such a system. In general the invention can be used for purposes such as (intention) recognition, prediction or action generation (imitation/cooperation) which is applied in the above mentioned areas as well as computer games or agents therefore.",B25J 9/16,HONDA RES INST EUROPE GMBH,JANSSEN HERBERT; MORINGEN JAN; WACHSMUTH SVEN,EP20100155045  ; 10155045 01.03.2010 EP,
WO2019186198,PCT/GB2019/050927,29.03.2019,WO/2019/186198,03.10.2019,WO,ATTENTION FILTERING FOR MULTIPLE INSTANCE LEARNING,"Method(s), apparatus, and system(s) are provided for filtering a set of data, the set of data comprising multiple data instances by: receiving a set of scores for the set of data; determining attention filtering information based on prior knowledge of one or more relationships between the data instances in said set of data and calculating attention relevancy weights corresponding to the data instances and the set of scores; and providing the attention filtering information to a machine learning, ML, technique or ML model.",G06N 5/02; G06N 20/00,BENEVOLENTAI TECHNOLOGY LIMITED,"CREED, Paidi; SIM, Aaron Jefferson Khey Jin; SPENCER, Stephen Thomas; VILENIUS, Mikko Juhani",1805293.6 29.03.2018 GB,
WO1999017223,PCT/US1998/020463,30.09.1998,WO/1999/017223,08.04.1999,WO,APROBABILISTIC SYSTEM FOR NATURAL LANGUAGE PROCESSING,"A natural language understanding is described which provides for the generation of concept codes from free-text medical data. A probabilistic model of lexical semantics, in the preferred embodiment of the invention implemented by means of a Bayesian network, is used to determine the most probable concept or meaning associated with a sentence or phrase. The inventive method and system include the steps of checking for synonyms (301), checking spelling (302), performing syntactic parsing (303), transforming text into its 'deep' or semantic form (304), and performing a semantic analysis based on a probabilistic model of lexical semantics (305). In the preferred embodiment of the invention, spell checking and transformational processing as well as semantic analysis make use of semantic probabilistic determinations.",G06F 17/21; G06F 17/27,"IHC HEALTH SERVICES, INC.","HAUG, Peter, J.; KOEHLER, Spencer, B.; CHRISTENSEN, Lee, M.; GUNDERSEN, Michael, L.; VAN BREE, Rudy, E.","60/060,567 30.09.1997 US",
WO2002033415,PCT/US2001/042213,19.09.2001,WO/2002/033415,25.04.2002,WO,PATTERN RECOGNITION METHOD FOR DIAGNOSIS OF SYSTEMIC AUTOIMMUNE DISEASES,"An array of autoantibodies is quantitated in a patient sample and analyzed toward a diagnosis of systemic autoimmune diseases. The analysis uses any of various known pattern recognition techniques to compare the array of quantitation data to sets of data previously obtained from subjects having known systemic autoimmune diseases, thereby determining the particular disease(s) that the patient is suffering from as well as the degree of confidence or likelihood of accuracy of the determination. The method is effective in identifying a single disease and also in identifying two or more diseases simultaneously present. The method is readily susceptible to automated data processing, eliminating much of the human judgment and error that were previously entailed in diagnosing these diseases.",G01N 33/564,"BIO-RAD LABORATORIES, INC.","BINDER, Steven, R.; GLOSSENGER, John","09/691,405 17.10.2000 US",EP-2001977793; CA-2424764; JP-2002536551
WO2009010293,PCT/EP2008/005861,17.07.2008,WO/2009/010293,22.01.2009,WO,SYSTEM FOR INDUCTIVE DETERMINATION OF PATTERN PROBABILITIES OF LOGICAL CONNECTORS,"The invention relates to a system for the inductive determination of pattern probabilities of 16 dyadic logical connectors. Said system is especially useful for technically predicting human behavior, e.g. inclusion fallacies, and is therefore useful for controlling of technical systems and for data mining, search engines or human-machine interfaces.",G06N 7/00,"VON SYDOW, Momme","VON SYDOW, Momme","60/950,214 17.07.2007 US",EP-2008784842; US-12669532
WO2004049191,PCT/NL2003/000824,24.11.2003,WO/2004/049191,10.06.2004,WO,"METHOD, SYSTEM AND COMPUTER PROGRAM FOR COMPUTING ONE MARGINAL PROBABILITY FOR AN OBSERVED PHENOMENON","Method for computing at least one marginal probability for an observed phenomenon in a probability model which describes probabilities for relationships between said phenomenon and physical parameters by using a Cluster Variation Method (CVM), said model comprising a set of variables xi said variables xi representing observations of said physical parameters, the set of variables including a plurality of subsets; the marginal probability including a subset of the set of variables, the probability model being defined by a probability distribution pψ(x), the probability distribution pψ(x) having a potential ψ(xi) for each of the subsets.",G06F 17/17; G06F 17/18,"STICHTING VOOR DE TECHNISCHE WETENSCHAPPEN; KAPPEN, Hilbert, Johan; HESKES, Thomas, Maria","KAPPEN, Hilbert, Johan; HESKES, Thomas, Maria",1021987 25.11.2002 NL,JP-null
WO2019144116,PCT/US2019/014539,22.01.2019,WO/2019/144116,25.07.2019,WO,PLATFORMS FOR CONDUCTING VIRTUAL TRIALS,"The present disclosure provides platforms, systems, media, and methods for capturing clinical cases and expert-derived treatment rationales to facilitate biomedical decision making, which can include virtual clinical trials that continuously learn from the experiences of all patients, on all treatments, and all the time. Algorithms such as Bayesian machine learning methods can be applied to coordinate such virtual trials.",G06F 19/00,CANCER COMMONS,"SHRAGER, Jeffrey C.; TENENBAUM, Jay Martin; PORTER, Christopher Kelly; HOOS, William Arthur; SHAPIRO, Mark Adam","62/620,365 22.01.2018 US",
WO2014056102,PCT/CA2013/050754,07.10.2013,WO/2014/056102,17.04.2014,WO,DEVICE & METHOD FOR COGNITIVE RADAR INFORMATION NETWORK,"In cognitive radar information networks (CRINs) human-like cognitive abilities of attention and intelligence are built into radar systems and radar information networks (RINS) to assist operators with information overload. A CRIN comprises a plurality of radar sensing nodes monitoring an environment, a repository or memory, and a cognitive radar controller. Each radar sensing node includes a radio frequency transmitter, a transmitting antenna, and a receiver and receiving antenna. The receiver includes a digital radar processor for generating receiver information from the received echoes about the environment. The repository is configured for receiving and storing the receiver information generated by the digital radar processor. The cognitive controller is configured to automatically focus the system's attention on a region of interest within the surveillance volume in response to an attention request, by selecting the transmitter's waveform, selecting the receiver's processing mode, and controlling the transmitter's antenna. The cognitive controller learns from the environment by exploiting the repository's historical receiver information and further learns from the consequences of its past decision.",G01S 13/87; G01S 7/02; G01S 7/41,ACCIPITER RADAR TECHNOLOGIES INC.,"NOHARA, Timothy, J.; HAYKIN, Simon","13/647,761 09.10.2012 US",CA-2884769; EP-2013845294
WO2014078948,PCT/CA2013/000987,22.11.2013,WO/2014/078948,30.05.2014,WO,SYSTEM AND METHOD FOR AUTOMATICALLY TRIGGERED SYNCHRONOUS AND ASYNCHRONOUS VIDEO AND AUDIO COMMUNICATIONS BETWEEN USERS AT DIFFERENT ENDPOINTS,"A method for audio and/or video communication between at least two endpoints in a networked environment comprises receiving a plurality of data (data points) via a plurality of notifications/sensors/probes in the networked environment, said plurality of notifications/sensors/probes monitoring the data points; analyzing the data points to determine a state of each endpoint and correlating the state of each endpoint with at least one pre-identified state, comparing state of endpoint to at least one pre-identified state to recognize if an activation event is triggered, wherein if the activation event is triggered, an action related to the pre-identified state is taken, wherein at least one of the steps is carried out by a computer device.",H04L 12/66; G06F 17/00; H04L 12/58; H04M 3/42; H04N 7/15; H04W 4/12; H04W 4/14; H04W 4/16,PERCH COMMUNICATIONS INC.,"ROBINSON, Danny Brant","61/729,410 22.11.2012 US",
WO2007110607,PCT/GB2007/001061,23.03.2007,WO/2007/110607,04.10.2007,WO,METHOD AND SYSTEM OF DECISION MAKING FOR DISTRIBUTED INFORMATION DISTRIBUTION NETWORKS,"A method and means for processing information across a network is provided, the network comprising a plurality of nodes. In one embodiment, the invention includes algorithm means for addressing the problem of efficient information distribution between nodes in the network. This invention addresses the problem by generating probabilistic models at the nodes in the network and by selectively distributing information between the nodes based on these models and by using a predetermined metric function in such a way as to reduce information differences between the nodes. Advantageously this invention finds utility in many applications in both distributed networks and centralised networks provided that it is possible to derive an appropriate tree topology representation of the network.",H04L 29/08; G06N 7/00; H04L 12/24,"BAE SYSTEMS PLC; DAY, Peter, Stephen; BLADON, Peter","DAY, Peter, Stephen; BLADON, Peter",0605892.9 24.03.2006 GB; 06251615.8 24.03.2006 EP,AU-2007231209; US-11666456; EP-2007732123; JP-2008507173
WO2017036482,PCT/DK2016/050288,26.08.2016,WO/2017/036482,09.03.2017,WO,A CPN-BASED TOOL FOR THE STRATIFICATION OF ILLNESS SEVERITY IN PATIENTS SUSPECTED OF SEPSIS,"There is presented a computer implemented method for calculating a probability of a clinical outcome for a patient, wherein the method comprises providing a maximum of 150 input parameters, such as a maximum of 20 input parameters, as input to a statistical model, and calculating the probability with the statistical model. The method in an embodiment further comprises performing with the statistical model an assessment of a severity of an illness of the patient, where said assessment is based partially or fully on the input parameters, and where said probability is based partially or fully on the severity of the patient's illness.",G06F 19/00; G06N 7/00,AALBORG UNIVERSITET,"WARD, Logan; ANDREASSEN, Steen",PA 2015 00514 28.08.2015 DK,
WO2007024617,PCT/US2006/032112,17.08.2006,WO/2007/024617,01.03.2007,WO,MEDICAL ONTOLOGIES FOR COMPUTER ASSISTED CLINICAL DECISION SUPPORT,,G06F 19/00,"SIEMENS MEDICAL SOLUTIONS USA, INC.; PANDYA, Abhinay, Mahesh; ROSALES, Romer, E.; RAO, R., Bharat; STECK, Harald","PANDYA, Abhinay, Mahesh; ROSALES, Romer, E.; RAO, R., Bharat; STECK, Harald","60/711,117 25.08.2005 US; 11/505,080 16.08.2006 US",DE-null
WO2005001740,PCT/US2004/020228,25.06.2004,WO/2005/001740,06.01.2005,WO,SYSTEMS AND METHODS FOR AUTOMATED DIAGNOSIS AND DECISION SUPPORT FOR BREAST IMAGING,"CAD (computer-aided diagnosis) systems and applications for breast imaging are provided, which implement methods to automatically extract and analyze features from a collection of patient information (including image data and/or non-image data) of a subject patient, to provide decision support for various aspects of physician workflow including, for example, automated diagnosis of breast cancer other automated decision support functions that enable decision support for, e.g., screening and staging for breast cancer. The CAD systems implement machine-learning techniques that use a set of training data obtained (learned) from a database of labeled patient cases in one or more relevant clinical domains and/or expert interpretations of such data to enable the CAD systems to 'learn' to analyze patient data and make proper diagnostic assessments and decisions for assisting physician workflow.",G06F 19/00,"SIEMENS MEDICAL SOLUTIONS USA, INC.","KRISHNAN, Sriram; RAO, R. Bharat; DUNDAR, Murat; FUNG, Glenn","60/482,293 25.06.2003 US",CN-200480024033.4; JP-2006517605; EP-2004776999; CA-2529929; AU-2004251359
